Entrez_ID	Main Class	Classification
2835.0	Receptors	GPCR;Rhodopsin
338557.0	Receptors	GPCR;Rhodopsin
29933.0	Receptors	GPCR;Rhodopsin
64582.0	Receptors	GPCR;Rhodopsin
124274.0	Receptors	GPCR;Rhodopsin
115330.0	Receptors	GPCR;Rhodopsin
344561.0	Receptors	GPCR;Rhodopsin
2838.0	Receptors	GPCR;Rhodopsin
285601.0	Receptors	GPCR;Rhodopsin
134391.0	Receptors	GPCR;Rhodopsin
390212.0	Receptors	GPCR;Rhodopsin
387509.0	Receptors	GPCR;Rhodopsin
23432.0	Receptors	GPCR;Rhodopsin
27239.0	Receptors	GPCR;Rhodopsin
2840.0	Receptors	GPCR;Rhodopsin
29909.0	Receptors	GPCR;Rhodopsin
54328.0	Receptors	GPCR;Rhodopsin
84636.0	Receptors	GPCR;Rhodopsin
11245.0	Receptors	GPCR;Rhodopsin
2841.0	Receptors	GPCR;Rhodopsin
11318.0	Receptors	GPCR;Rhodopsin
2842.0	Receptors	GPCR;Rhodopsin
2843.0	Receptors	GPCR;Rhodopsin
2844.0	Receptors	GPCR;Rhodopsin
2845.0	Receptors	GPCR;Rhodopsin
2846.0	Receptors	GPCR;Rhodopsin
2848.0	Receptors	GPCR;Rhodopsin
2849.0	Receptors	GPCR;Rhodopsin
2850.0	Receptors	GPCR;Rhodopsin
2827.0	Receptors	GPCR;Rhodopsin
2853.0	Receptors	GPCR;Rhodopsin
2854.0	Receptors	GPCR;Rhodopsin
2856.0	Receptors	GPCR;Rhodopsin
2857.0	Receptors	GPCR;Rhodopsin
2859.0	Receptors	GPCR;Rhodopsin
2861.0	Receptors	GPCR;Rhodopsin
9283.0	Receptors	GPCR;Rhodopsin
2863.0	Receptors	GPCR;Rhodopsin
2828.0	Receptors	GPCR;Rhodopsin
11251.0	Receptors	GPCR;Rhodopsin
11250.0	Receptors	GPCR;Rhodopsin
9248.0	Receptors	GPCR;Rhodopsin
9293.0	Receptors	GPCR;Rhodopsin
9290.0	Receptors	GPCR;Rhodopsin
2830.0	Receptors	GPCR;Rhodopsin
83873.0	Receptors	GPCR;Rhodopsin
118442.0	Receptors	GPCR;Rhodopsin
81491.0	Receptors	GPCR;Rhodopsin
8477.0	Receptors	GPCR;Rhodopsin
8111.0	Receptors	GPCR;Rhodopsin
10936.0	Receptors	GPCR;Rhodopsin
27202.0	Receptors	GPCR;Rhodopsin
27201.0	Receptors	GPCR;Rhodopsin
27198.0	Receptors	GPCR;Rhodopsin
27197.0	Receptors	GPCR;Rhodopsin
10888.0	Receptors	GPCR;Rhodopsin
53831.0	Receptors	GPCR;Rhodopsin
54329.0	Receptors	GPCR;Rhodopsin
53836.0	Receptors	GPCR;Rhodopsin
54112.0	Receptors	GPCR;Rhodopsin
57121.0	Receptors	GPCR;Rhodopsin
2925.0	Receptors	GPCR;Rhodopsin
